radial_step,angle_deg,gx,gy,gz,bmag
0,274.91,-10.049000,0.423000,3.040000,10.507280
0,276.55,-10.032000,0.167000,3.052000,10.487307
0,278.18,-10.000000,0.000000,3.051000,10.455075
0,279.82,-9.968000,-0.239000,3.051000,10.427212
0,281.45,-9.933000,-0.417000,3.046000,10.397908
0,283.09,-9.877000,-0.610000,3.036000,10.351064
0,284.73,-9.790000,-0.828000,3.033000,10.282450
0,286.36,-9.732000,-0.993000,3.005000,10.233665
0,288.00,-9.614000,-1.189000,3.010000,10.144103
0,289.64,-9.526000,-1.355000,2.979000,10.072494
0,291.27,-9.387000,-1.570000,2.960000,9.967059
0,292.91,-9.264000,-1.737000,2.938000,9.872726
0,294.55,-9.131000,-1.886000,2.910000,9.767306
0,296.18,-8.974000,-2.066000,2.877000,9.647702
0,297.82,-8.820000,-2.229000,2.844000,9.531483
0,299.45,-8.622000,-2.410000,2.801000,9.380436
0,301.09,-8.455000,-2.548000,2.770000,9.254849
0,302.73,-8.278000,-2.675000,2.738000,9.120173
0,304.36,-8.059000,-2.845000,2.683000,8.957678
0,306.00,-7.871000,-2.970000,2.644000,8.818406
0,307.64,-7.623000,-3.122000,2.580000,8.632115
0,309.27,-7.420000,-3.234000,2.551000,8.486622
0,310.91,-7.158000,-3.355000,2.493000,8.289031
0,312.55,-6.932000,-3.492000,2.436000,8.135157
0,314.18,-6.699000,-3.590000,2.385000,7.965734
0,315.82,-6.411000,-3.701000,2.325000,7.759120
0,317.45,-6.166000,-3.789000,2.280000,7.587785
0,319.09,-5.857000,-3.907000,2.211000,7.379541
0,320.73,-5.579000,-3.994000,2.160000,7.193252
0,322.36,-5.315000,-4.080000,2.097000,7.020900
0,324.00,-4.975000,-4.157000,2.034000,6.794735
0,325.64,-4.694000,-4.226000,1.972000,6.616759
0,327.27,-4.326000,-4.311000,1.889000,6.392755
0,328.91,-4.039000,-4.362000,1.840000,6.223035
0,330.55,-3.738000,-4.422000,1.751000,6.049192
0,332.18,-3.363000,-4.486000,1.686000,5.854619
0,333.82,-3.044000,-4.533000,1.615000,5.694054
0,335.45,-2.652000,-4.583000,1.532000,5.512170
0,337.09,-2.335000,-4.626000,1.458000,5.383109
0,338.73,-1.939000,-4.670000,1.368000,5.238325
0,340.36,-1.607000,-4.701000,1.304000,5.136367
0,342.00,-1.269000,-4.724000,1.215000,5.040115
0,343.64,-0.852000,-4.752000,1.122000,4.956439
0,345.27,-0.520000,-4.767000,1.050000,4.908889
0,346.91,-0.098000,-4.773000,0.970000,4.871553
0,348.55,0.262000,-4.781000,0.883000,4.868911
0,350.18,0.616000,-4.779000,0.808000,4.885812
0,351.82,0.962000,-4.778000,0.721000,4.926923
0,353.45,1.396000,-4.759000,0.645000,5.001292
0,355.09,1.737000,-4.741000,0.562000,5.080364
0,356.73,2.080000,-4.720000,0.502000,5.182355
0,358.36,2.435000,-4.686000,0.417000,5.297330
1,0.00,2.775000,-4.656000,0.332000,5.430395
1,1.46,3.225000,-4.609000,0.246000,5.630632
1,2.91,3.561000,-4.567000,0.167000,5.793626
1,4.37,3.846000,-4.519000,0.098000,5.934870
1,5.83,4.178000,-4.491000,0.040000,6.134033
1,7.29,4.385000,-4.445000,0.023000,6.243939
1,8.74,4.157000,-4.439000,0.053000,6.081791
1,10.20,4.127000,-4.445000,0.042000,6.065634
1,11.66,4.132000,-4.444000,0.033000,6.068249
1,13.12,4.136000,-4.446000,0.031000,6.072427
1,14.57,4.141000,-4.453000,0.049000,6.081076
1,16.03,4.157000,-4.452000,0.027000,6.091115
1,17.49,4.159000,-4.443000,0.029000,6.085916
1,18.95,4.160000,-4.450000,0.031000,6.091721
1,20.40,4.173000,-4.440000,0.032000,6.093320
1,21.86,4.162000,-4.445000,0.038000,6.089476
1,23.32,4.167000,-4.444000,0.034000,6.092141
1,24.78,4.160000,-4.431000,0.036000,6.077883
1,26.23,4.163000,-4.443000,0.030000,6.088655
1,27.69,4.162000,-4.442000,0.030000,6.087241
1,29.15,4.162000,-4.444000,0.034000,6.088722
1,30.61,4.161000,-4.448000,0.028000,6.090928
1,32.06,4.161000,-4.447000,0.032000,6.090218
1,33.52,4.163000,-4.444000,0.033000,6.089400
1,34.98,4.163000,-4.441000,0.026000,6.087177
1,36.44,4.160000,-4.446000,0.037000,6.088833
1,37.89,4.162000,-4.446000,0.032000,6.090171
1,39.35,4.153000,-4.447000,0.042000,6.084816
1,40.81,4.147000,-4.442000,0.027000,6.076981
1,42.27,4.166000,-4.441000,0.031000,6.089253
1,43.72,4.180000,-4.437000,0.030000,6.095922
1,45.18,4.178000,-4.440000,0.027000,6.096721
1,46.64,4.176000,-4.435000,0.021000,6.091686
1,48.10,4.171000,-4.443000,0.036000,6.094160
1,49.55,4.180000,-4.438000,0.031000,6.096655
1,51.01,4.177000,-4.447000,0.027000,6.101137
1,52.47,4.177000,-4.439000,0.031000,6.095327
1,53.93,4.172000,-4.444000,0.024000,6.095514
1,55.38,4.174000,-4.439000,0.029000,6.093262
1,56.84,4.174000,-4.442000,0.030000,6.095452
1,58.30,4.175000,-4.436000,0.033000,6.091782
1,59.76,4.176000,-4.446000,0.038000,6.099782
1,61.21,4.174000,-4.443000,0.033000,6.096197
1,62.67,4.175000,-4.436000,0.021000,6.091729
1,64.13,4.180000,-4.437000,0.033000,6.095938
1,65.59,4.172000,-4.437000,0.029000,6.090435
1,67.04,4.173000,-4.446000,0.025000,6.097661
1,68.50,4.176000,-4.435000,0.040000,6.091781
1,69.96,4.177000,-4.440000,0.035000,6.096077
1,71.42,4.190000,-4.437000,0.027000,6.102770
1,72.87,4.186000,-4.444000,0.032000,6.105142
1,74.33,4.178000,-4.419000,0.033000,6.081475
1,75.79,4.071000,-4.401000,0.090000,5.995827
1,77.25,4.077000,-4.382000,0.071000,5.985724
1,78.70,4.079000,-4.392000,0.069000,5.994386
1,80.16,4.104000,-4.382000,0.063000,6.004058
1,81.62,4.099000,-4.383000,0.053000,6.001275
1,83.08,4.093000,-4.389000,0.062000,6.001651
1,84.53,4.110000,-4.380000,0.046000,6.006548
1,85.99,4.101000,-4.387000,0.064000,6.005669
1,87.45,4.106000,-4.386000,0.066000,6.008376
1,88.91,4.105000,-4.384000,0.055000,6.006122
1,90.36,4.100000,-4.384000,0.056000,6.002715
1,91.82,4.106000,-4.385000,0.066000,6.007647
1,93.28,4.113000,-4.384000,0.061000,6.011651
1,94.74,4.102000,-4.391000,0.058000,6.009214
1,96.19,4.097000,-4.387000,0.059000,6.002888
1,97.65,4.102000,-4.382000,0.052000,6.002585
1,99.11,4.101000,-4.387000,0.061000,6.005638
1,100.57,4.087000,-4.361000,0.018000,5.976806
1,102.02,4.297000,-4.434000,0.060000,6.174801
1,103.48,4.592000,-4.355000,-0.030000,6.328775
1,104.94,4.684000,-4.337000,-0.037000,6.383635
1,106.40,4.711000,-4.289000,-0.111000,6.371920
1,107.85,4.685000,-4.294000,-0.133000,6.356520
1,109.31,4.801000,-4.293000,-0.131000,6.441786
1,110.77,5.360000,-4.213000,-0.219000,6.821065
1,112.23,5.885000,-4.077000,-0.359000,7.168266
1,113.68,6.293000,-3.970000,-0.431000,7.453087
1,115.14,6.573000,-3.870000,-0.550000,7.647466
1,116.60,6.915000,-3.760000,-0.626000,7.895993
1,118.06,7.195000,-3.675000,-0.675000,8.107359
1,119.51,7.462000,-3.582000,-0.743000,8.310488
1,120.97,7.800000,-3.451000,-0.844000,8.570982
1,122.43,8.084000,-3.327000,-0.896000,8.787650
1,123.89,8.392000,-3.186000,-0.977000,9.029440
1,125.34,8.625000,-3.089000,-1.050000,9.221445
1,126.80,8.881000,-2.950000,-1.101000,9.422678
1,128.26,9.173000,-2.781000,-1.177000,9.657288
1,129.72,9.387000,-2.650000,-1.237000,9.832011
1,131.17,9.679000,-2.477000,-1.315000,10.077093
1,132.63,9.897000,-2.326000,-1.354000,10.256422
1,134.09,10.107000,-2.181000,-1.431000,10.438198
1,135.55,10.347000,-1.970000,-1.495000,10.638437
1,137.00,10.596000,-1.770000,-1.557000,10.855062
1,138.46,10.771000,-1.607000,-1.615000,11.009319
1,139.92,11.007000,-1.365000,-1.671000,11.216484
1,141.38,11.209000,-1.131000,-1.705000,11.394203
1,142.83,11.380000,-0.938000,-1.789000,11.557888
1,144.29,11.549000,-0.692000,-1.850000,11.716687
1,145.75,11.676000,-0.489000,-1.858000,11.833016
1,147.21,11.820000,-0.213000,-1.915000,11.976017
1,148.66,11.943000,0.056000,-1.979000,12.105983
1,150.12,12.031000,0.247000,-2.006000,12.199590
1,151.58,12.124000,0.539000,-2.048000,12.307567
1,153.04,12.183000,0.762000,-2.064000,12.380074
1,154.49,12.233000,0.971000,-2.105000,12.450709
1,155.95,12.267000,1.252000,-2.119000,12.511473
1,157.41,12.294000,1.476000,-2.142000,12.566192
1,158.87,12.303000,1.759000,-2.141000,12.611176
1,160.32,12.286000,1.977000,-2.151000,12.628584
1,161.78,12.260000,2.199000,-2.152000,12.640186
1,163.24,12.212000,2.467000,-2.182000,12.648326
1,164.70,12.154000,2.694000,-2.142000,12.631924
1,166.15,12.069000,2.968000,-2.125000,12.608942
1,167.61,11.994000,3.172000,-2.221000,12.603589
1,169.07,11.897000,3.374000,-2.113000,12.545408
1,170.53,11.756000,3.636000,-2.064000,12.477345
1,171.98,11.624000,3.841000,-2.056000,12.413613
1,173.44,11.436000,4.080000,-2.016000,12.308239
1,174.90,11.292000,4.280000,-1.986000,12.238131
1,176.36,11.092000,4.503000,-1.941000,12.127529
1,177.81,10.895000,4.678000,-1.967000,12.018893
1,179.27,10.699000,4.853000,-1.854000,11.893592
1,180.73,10.434000,5.066000,-1.796000,11.737049
1,182.19,10.216000,5.212000,-1.763000,11.603438
1,183.64,9.931000,5.420000,-1.695000,11.440026
1,185.10,9.682000,5.567000,-1.633000,11.287130
1,186.56,9.429000,5.706000,-1.583000,11.134198
1,188.02,9.170000,5.825000,-1.530000,10.970890
1,189.47,8.898000,5.946000,-1.495000,10.805755
1,190.93,8.523000,6.101000,-1.398000,10.574409
1,192.39,8.211000,6.227000,-1.322000,10.389597
1,193.85,7.884000,6.336000,-1.264000,10.193137
1,195.30,7.571000,6.422000,-1.188000,9.998673
1,196.76,7.253000,6.517000,-1.118000,9.814643
1,198.22,6.815000,6.624000,-1.023000,9.558668
1,199.68,6.454000,6.697000,-0.946000,9.348735
1,201.13,6.112000,6.764000,-0.870000,9.157791
1,202.59,5.749000,6.819000,-0.804000,8.955232
1,204.05,5.383000,6.880000,-0.710000,8.764427
1,205.51,4.916000,6.934000,-0.613000,8.521924
1,206.96,4.543000,6.959000,-0.529000,8.327447
1,208.42,4.159000,6.986000,-0.457000,8.143115
1,209.88,3.784000,7.007000,-0.389000,7.972956
1,211.34,3.389000,7.019000,-0.287000,7.799619
1,212.79,2.905000,7.034000,-0.177000,7.612326
1,214.25,2.504000,7.027000,-0.095000,7.460414
1,215.71,2.099000,7.012000,-0.028000,7.319476
1,217.17,1.700000,7.009000,0.084000,7.212707
1,218.62,1.315000,6.976000,0.164000,7.100753
1,220.08,0.919000,6.949000,0.246000,7.013820
1,221.54,0.546000,6.918000,0.328000,6.947260
1,223.00,0.164000,6.872000,0.414000,6.886412
1,224.45,-0.226000,6.831000,0.512000,6.853888
1,225.91,-0.618000,6.776000,0.603000,6.830791
1,227.37,-1.079000,6.702000,0.692000,6.823482
1,228.83,-1.452000,6.637000,0.766000,6.837019
1,230.28,-1.812000,6.566000,0.856000,6.865015
1,231.74,-2.181000,6.482000,0.939000,6.903246
1,233.20,-2.518000,6.409000,1.036000,6.963397
1,234.66,-2.968000,6.288000,1.137000,7.045618
1,236.11,-3.306000,6.203000,1.196000,7.130025
1,237.57,-3.656000,6.107000,1.298000,7.235094
1,239.03,-4.007000,5.988000,1.354000,7.331133
1,240.49,-4.321000,5.883000,1.445000,7.441018
1,241.94,-4.695000,5.745000,1.529000,7.575348
1,243.40,-5.020000,5.621000,1.609000,7.706161
1,244.86,-5.362000,5.472000,1.696000,7.846671
1,246.32,-5.675000,5.338000,1.757000,7.986671
1,247.77,-5.974000,5.187000,1.843000,8.123441
1,249.23,-6.374000,4.997000,1.931000,8.326262
1,250.69,-6.707000,4.813000,2.015000,8.497590
1,252.15,-7.047000,4.609000,2.106000,8.679765
1,253.60,-7.357000,4.406000,2.162000,8.843785
1,255.06,-7.617000,4.223000,2.236000,8.991780
1,256.52,-7.898000,4.007000,2.317000,9.154395
1,257.98,-8.110000,3.832000,2.373000,9.278332
1,259.43,-8.296000,3.652000,2.422000,9.382260
1,260.89,-8.471000,3.479000,2.476000,9.486404
1,262.35,-8.647000,3.320000,2.530000,9.601766
1,263.81,-8.838000,3.091000,2.576000,9.710834
1,265.26,-8.982000,2.901000,2.635000,9.799763
1,266.72,-9.120000,2.712000,2.678000,9.884383
1,268.18,-9.245000,2.527000,2.712000,9.960457
1,269.64,-9.357000,2.339000,2.746000,10.028205
1,271.09,-9.485000,2.098000,2.787000,10.106147
1,272.55,-9.572000,1.914000,2.825000,10.162047
1,274.01,-9.651000,1.717000,2.846000,10.207331
1,275.47,-9.716000,1.546000,2.883000,10.251949
1,276.92,-9.761000,1.363000,2.887000,10.269842
1,278.38,-9.826000,1.128000,2.910000,10.309741
1,279.84,-9.843000,0.936000,2.939000,10.314963
1,281.30,-9.866000,0.758000,2.941000,10.322887
1,282.75,-9.873000,0.575000,2.959000,10.322908
1,284.21,-9.887000,0.391000,2.966000,10.329705
1,285.67,-9.870000,0.162000,2.969000,10.308157
1,287.13,-9.854000,-0.008000,2.977000,10.293877
1,288.58,-9.818000,-0.190000,2.971000,10.259438
1,290.04,-9.764000,-0.387000,2.977000,10.215087
1,291.50,-9.721000,-0.587000,2.962000,10.179187
1,292.96,-9.650000,-0.792000,2.952000,10.122454
1,294.41,-9.585000,-0.943000,2.947000,10.072055
1,295.87,-9.490000,-1.106000,2.922000,9.991067
1,297.33,-9.373000,-1.303000,2.916000,9.902222
1,298.79,-9.272000,-1.474000,2.892000,9.823763
1,300.24,-9.109000,-1.675000,2.860000,9.693251
1,301.70,-8.994000,-1.809000,2.838000,9.603060
1,303.16,-8.868000,-1.953000,2.817000,9.507425
1,304.62,-8.694000,-2.145000,2.786000,9.378084
1,306.07,-8.539000,-2.281000,2.758000,9.258728
1,307.53,-8.340000,-2.462000,2.713000,9.109194
1,308.99,-8.176000,-2.586000,2.681000,8.984550
1,310.45,-7.946000,-2.749000,2.628000,8.809217
1,311.90,-7.752000,-2.876000,2.585000,8.662973
1,313.36,-7.561000,-3.006000,2.546000,8.525660
1,314.82,-7.308000,-3.134000,2.503000,8.336296
1,316.28,-7.101000,-3.253000,2.464000,8.190086
1,317.73,-6.821000,-3.394000,2.402000,7.988422
1,319.19,-6.586000,-3.490000,2.345000,7.813739
1,320.65,-6.352000,-3.585000,2.305000,7.649389
1,322.11,-6.046000,-3.715000,2.240000,7.441300
1,323.56,-5.807000,-3.809000,2.190000,7.281884
1,325.02,-5.457000,-3.919000,2.127000,7.047094
1,326.48,-5.195000,-4.001000,2.061000,6.873409
1,327.94,-4.921000,-4.075000,2.002000,6.695511
1,329.39,-4.557000,-4.165000,1.942000,6.471850
